שם ספר,TextSource,נתיב,RavMechaber,ForcedBookName,MixedDisplay,,PasukIndMode,UniqueId,,HiddenFromIndex,[Books\000_ACCESORIES\000_!WELLCOME.txt_תורת אמת],SearchInTitles,GroupId,שם הספר,LastLevelIndex,,SpecialTitle,FilesGotFrom,Comments,PutNewLinesAsIs,ChainFolderName,Haskamot,,CosmeticsType
טור - אבן העזר - חידושי הגהות,ויקיטקסט,Books\000_HORADOT\100_TUR\146_tur_even_haezer_hagahot.txt,,,0,,0,3046,,0,,1,,,1,,,,,1,1,,,
טור - אבן העזר - הערות,ויקיטקסט,Books\000_HORADOT\100_TUR\147_tur_even_haezer_notes.txt,,,0,,0,3047,,0,,1,,,1,,,,,1,1,,,
טור - חושן משפט - טור,ויקיטקסט,Books\000_HORADOT\100_TUR\160_tur_choshen_mishpat_tur.txt,,,0,,0,3060,,0,,1,,,1,,,,,1,1,,,
טור - חושן משפט - בית יוסף,ויקיטקסט,Books\000_HORADOT\100_TUR\161_tur_choshen_mishpat_beit_yosef.txt,,,0,,0,3061,,0,,1,,,1,,,,,1,1,,,
טור - חושן משפט - בית חדש,ויקיטקסט,Books\000_HORADOT\100_TUR\162_tur_choshen_mishpat_bach.txt,,,0,,0,3062,,0,,1,,,1,,,,,1,1,,,
טור - חושן משפט - דרכי משה,ויקיטקסט,Books\000_HORADOT\100_TUR\163_tur_choshen_mishpat_darkei_moshe.txt,,,0,,0,3063,,0,,1,,,1,,,,,1,1,,,
טור - חושן משפט - דרישה,ויקיטקסט,Books\000_HORADOT\100_TUR\164_tur_choshen_mishpat_drisha.txt,,,0,,0,3064,,0,,1,,,1,,,,,1,1,,,
טור - חושן משפט - פרישה,ויקיטקסט,Books\000_HORADOT\100_TUR\165_tur_choshen_mishpat_prisha.txt,,,0,,0,3065,,0,,1,,,1,,,,,1,1,,,
טור - חושן משפט - חידושי הגהות,ויקיטקסט,Books\000_HORADOT\100_TUR\166_tur_choshen_mishpat_hagahot.txt,,,0,,0,3066,,0,,1,,,1,,,,,1,1,,,
טור - חושן משפט - הערות,ויקיטקסט,Books\000_HORADOT\100_TUR\167_tur_choshen_mishpat_notes.txt,,,0,,0,3067,,0,,1,,,1,,,,,1,1,,,
בן איש חי,ויקיטקסט,Books\000_HORADOT\200_PARSHA\050_ben_ish_chai.txt,,,0,,0,3080,,0,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - בראשית,אתר דעת,Books\000_HORADOT\250_SHIMONI\001_shimoni_bereshit.txt,,,0,,0,3081,,0,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - שמות,אתר דעת,Books\000_HORADOT\250_SHIMONI\002_shimoni_shemot.txt,,,0,,0,3082,,0,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - ויקרא,אתר דעת,Books\000_HORADOT\250_SHIMONI\003_shimoni_vaikra.txt,,,0,,0,3083,,0,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - במדבר,אתר דעת,Books\000_HORADOT\250_SHIMONI\004_shimoni_bamidbar.txt,,,0,,0,3084,,0,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - דברים,אתר דעת,Books\000_HORADOT\250_SHIMONI\005_shimoni_devarim.txt,,,0,,0,3085,,0,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - יהושע,אתר דעת,Books\000_HORADOT\250_SHIMONI\006_shimoni_yehoshua.txt,,,0,,0,3086,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - שופטים,אתר דעת,Books\000_HORADOT\250_SHIMONI\007_shimoni_shofetim.txt,,,0,,0,3087,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - שמואל א,אתר דעת,Books\000_HORADOT\250_SHIMONI\008_shimoni_shmuel_a.txt,,,0,,0,3088,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - שמואל ב,אתר דעת,Books\000_HORADOT\250_SHIMONI\009_shimoni_shmuel_b.txt,,,0,,0,3089,,1,,1,,,2,,,,,1,1,,,#bp
