קיים כבר בספריא,שם הספר,שם הקובץ,קטגורייה,auto,noc
FALSE,פורים,2220119,מועדים וראש חודש,,1
FALSE,חודש ניסן,2220120,מועדים וראש חודש,,1
FALSE,תעניות ואבילות,2220122,מועדים וראש חודש,,1
FALSE,התרת נדרים,2220124,מועדים וראש חודש,,
FALSE,שחרית,2230101,סידור נוסח אשכנז,,1
FALSE,מנחה,2230103,סידור נוסח אשכנז,,1
FALSE,מעריב,2230104,סידור נוסח אשכנז,,1
FALSE,ברכות,2230105,סידור נוסח אשכנז,,1
FALSE,סדר קריאה בתורה,,סידור נוסח אשכנז,,
FALSE,התרת נדרים,2220237,סידור נוסח אשכנז,,
FALSE,בראשית,2220227,סדר קריאה בתורה,,1
FALSE,שמות,2220228,סדר קריאה בתורה,,1
FALSE,ויקרא,2220229,סדר קריאה בתורה,,1
FALSE,במדבר,2220230,סדר קריאה בתורה,,1
FALSE,דברים,2220231,סדר קריאה בתורה,,1
FALSE,קריאה למועדים,2220232,סדר קריאה בתורה,,1
FALSE,שחרית,2250101,סידור נוסח תימן,,1
FALSE,מנחה,2250103,סידור נוסח תימן,,1
FALSE,ערבית,2250102,סידור נוסח תימן,,1
FALSE,ברכת המזון,2250105,סידור נוסח תימן,,1
FALSE,פולין (ספרד),2270001,סליחות,,1
FALSE,ספרדי ועדות המזרח,2270002,סליחות,,1
FALSE,תורה,,תנ''ך,,
FALSE,נביאים,,תנ''ך,,
FALSE,כתובים,,תנ''ך,,
FALSE,תורה לפי פרקים (פרשנים),,תורה,,
FALSE,תורה לפי פרשיות (שניים מקרא וא' תר'),,תורה,,
FALSE,בראשית,1,תורה לפי פרקים (פרשנים),,50
FALSE,שמות,2,תורה לפי פרקים (פרשנים),,40
FALSE,ויקרא,3,תורה לפי פרקים (פרשנים),,27
FALSE,במדבר,4,תורה לפי פרקים (פרשנים),,36
FALSE,דברים,5,תורה לפי פרקים (פרשנים),,34
FALSE,בראשית,,תורה לפי פרשיות (שניים מקרא וא' תר'),,
FALSE,שמות,,תורה לפי פרשיות (שניים מקרא וא' תר'),,
FALSE,ויקרא,,תורה לפי פרשיות (שניים מקרא וא' תר'),,
FALSE,במדבר,,תורה לפי פרשיות (שניים מקרא וא' תר'),,
FALSE,דברים,,תורה לפי פרשיות (שניים מקרא וא' תר'),,
FALSE,פרשת בראשית,999001,בראשית,,1
FALSE,פרשת נח,999002,בראשית,,1
FALSE,פרשת לך לך,999003,בראשית,,1
FALSE,פרשת וירא,999004,בראשית,,1
FALSE,פרשת חיי שרה,999005,בראשית,,1
FALSE,פרשת תולדות,999006,בראשית,,1
FALSE,פרשת ויצא,999007,בראשית,,1
FALSE,פרשת וישלח,999008,בראשית,,1
FALSE,פרשת וישב,999009,בראשית,,1
FALSE,פרשת מקץ,999010,בראשית,,1
FALSE,פרשת ויגש,999011,בראשית,,1
FALSE,פרשת ויחי,999012,בראשית,,1
FALSE,פרשת שמות,999101,שמות,,1
FALSE,פרשת וארא,999102,שמות,,1
FALSE,פרשת בא,999103,שמות,,1
FALSE,פרשת בשלח,999104,שמות,,1
