מספר הספר,שם הקובץ,שם הספר,קטגוריות,לינק לספר,noc
2220227,בראשית,סדר קריאה בתורה,"סידור , סידור נוסח ספרד (מנהג האשכנזים)","http://mobile.tora.ws/index.html?bgf=lnn(2220227,0,0)",1
2220228,שמות,סדר קריאה בתורה,"סידור , סידור נוסח ספרד (מנהג האשכנזים)","http://mobile.tora.ws/index.html?bgf=lnn(2220228,0,0)",1
2220229,ויקרא,סדר קריאה בתורה,"סידור , סידור נוסח ספרד (מנהג האשכנזים)","http://mobile.tora.ws/index.html?bgf=lnn(2220229,0,0)",1
2220230,במדבר,סדר קריאה בתורה,"סידור , סידור נוסח ספרד (מנהג האשכנזים)","http://mobile.tora.ws/index.html?bgf=lnn(2220230,0,0)",1
2220231,דברים,סדר קריאה בתורה,"סידור , סידור נוסח ספרד (מנהג האשכנזים)","http://mobile.tora.ws/index.html?bgf=lnn(2220231,0,0)",1
2220232,קריאה למועדים,סדר קריאה בתורה,"סידור , סידור נוסח ספרד (מנהג האשכנזים)","http://mobile.tora.ws/index.html?bgf=lnn(2220232,0,0)",1
2220234,תפילות וסגולות שונות,סידור נוסח ספרד (מנהג האשכנזים),סידור,"http://mobile.tora.ws/index.html?bgf=lnn(2220234,0,0)",1
2220102,תפילת שחרית לימי החול,סידור נוסח הספרדים ובני עדות המזרח,סידור,"http://mobile.tora.ws/index.html?bgf=lnn(2220102,0,0)",1
2220103,תפילת מנחה לימי החול,סידור נוסח הספרדים ובני עדות המזרח,סידור,"http://mobile.tora.ws/index.html?bgf=lnn(2220103,0,0)",1
2220104,תפילת ערבית לימי החול,סידור נוסח הספרדים ובני עדות המזרח,סידור,"http://mobile.tora.ws/index.html?bgf=lnn(2220104,0,0)",1
2220110,"ברכות (ברהמ''ז, מעין שלוש והנהנין)",סידור נוסח הספרדים ובני עדות המזרח,סידור,"http://mobile.tora.ws/index.html?bgf=lnn(2220110,0,0)",1
2220105,קריאת שמע שעל המיטה,סידור נוסח הספרדים ובני עדות המזרח,סידור,"http://mobile.tora.ws/index.html?bgf=lnn(2220105,0,0)",1
2220101,סדר תיקון חצות,סידור נוסח הספרדים ובני עדות המזרח,סידור,"http://mobile.tora.ws/index.html?bgf=lnn(2220101,0,0)",1
224003,סדר סליחות והתרת נדרים,סידור נוסח הספרדים ובני עדות המזרח,סידור,"http://mobile.tora.ws/index.html?bgf=lnn(224003,0,0)",1
2220106,סדר הדלקת נרות שבת,שבת (ללימוד והדפסה בימי חול בלבד),"סידור , סידור נוסח הספרדים ובני עדות המזרח","http://mobile.tora.ws/index.html?bgf=lnn(2220106,0,0)",1
2220107,שיר השירים,שבת (ללימוד והדפסה בימי חול בלבד),"סידור , סידור נוסח הספרדים ובני עדות המזרח","http://mobile.tora.ws/index.html?bgf=lnn(2220107,0,0)",1
2220108,תפילת ערבית של שבת,שבת (ללימוד והדפסה בימי חול בלבד),"סידור , סידור נוסח הספרדים ובני עדות המזרח","http://mobile.tora.ws/index.html?bgf=lnn(2220108,0,0)",1
2220109,סדר ליל שבת,שבת (ללימוד והדפסה בימי חול בלבד),"סידור , סידור נוסח הספרדים ובני עדות המזרח","http://mobile.tora.ws/index.html?bgf=lnn(2220109,0,0)",1
2220111,שחרית של שבת,שבת (ללימוד והדפסה בימי חול בלבד),"סידור , סידור נוסח הספרדים ובני עדות המזרח","http://mobile.tora.ws/index.html?bgf=lnn(2220111,0,0)",1
2220112,סדר סעודה שניה,שבת (ללימוד והדפסה בימי חול בלבד),"סידור , סידור נוסח הספרדים ובני עדות המזרח","http://mobile.tora.ws/index.html?bgf=lnn(2220112,0,0)",1
2220113,מנחה לשבת קודש,שבת (ללימוד והדפסה בימי חול בלבד),"סידור , סידור נוסח הספרדים ובני עדות המזרח","http://mobile.tora.ws/index.html?bgf=lnn(2220113,0,0)",1
2220114,סעודה שלישית,שבת (ללימוד והדפסה בימי חול בלבד),"סידור , סידור נוסח הספרדים ובני עדות המזרח","http://mobile.tora.ws/index.html?bgf=lnn(2220114,0,0)",1
2220123,משניות לשבת,שבת (ללימוד והדפסה בימי חול בלבד),"סידור , סידור נוסח הספרדים ובני עדות המזרח","http://mobile.tora.ws/index.html?bgf=lnn(2220123,0,0)",1
2220115,מוצאי שבת,שבת (ללימוד והדפסה בימי חול בלבד),"סידור , סידור נוסח הספרדים ובני עדות המזרח","http://mobile.tora.ws/index.html?bgf=lnn(2220115,0,0)",1
2220116,סדר ראש חודש,מועדים וראש חודש,"סידור , סידור נוסח הספרדים ובני עדות המזרח","http://mobile.tora.ws/index.html?bgf=lnn(2220116,0,0)",1
2220117,תפילה לשלוש רגלים,מועדים וראש חודש,"סידור , סידור נוסח הספרדים ובני עדות המזרח","http://mobile.tora.ws/index.html?bgf=lnn(2220117,0,0)",1
2220118,חנוכה,מועדים וראש חודש,"סידור , סידור נוסח הספרדים ובני עדות המזרח","http://mobile.tora.ws/index.html?bgf=lnn(2220118,0,0)",1
2220119,פורים,מועדים וראש חודש,"סידור , סידור נוסח הספרדים ובני עדות המזרח","http://mobile.tora.ws/index.html?bgf=lnn(2220119,0,0)",1
2220120,חודש ניסן,מועדים וראש חודש,"סידור , סידור נוסח הספרדים ובני עדות המזרח","http://mobile.tora.ws/index.html?bgf=lnn(2220120,0,0)",1
2220122,תעניות ואבילות,מועדים וראש חודש,"סידור , סידור נוסח הספרדים ובני עדות המזרח","http://mobile.tora.ws/index.html?bgf=lnn(2220122,0,0)",1
2220124,התרת נדרים,מועדים וראש חודש,"סידור , סידור נוסח הספרדים ובני עדות המזרח","http://mobile.tora.ws/index.html?bgf=lnn(2220124,0,0)",
2220121,ברכות ותפילות שונות,סידור נוסח הספרדים ובני עדות המזרח,סידור,"http://mobile.tora.ws/index.html?bgf=lnn(2220121,0,0)",1
2230101,שחרית,סידור נוסח אשכנז,סידור,"http://mobile.tora.ws/index.html?bgf=lnn(2230101,0,0)",1
2230103,מנחה,סידור נוסח אשכנז,סידור,"http://mobile.tora.ws/index.html?bgf=lnn(2230103,0,0)",1
2230104,מעריב,סידור נוסח אשכנז,סידור,"http://mobile.tora.ws/index.html?bgf=lnn(2230104,0,0)",1
2230105,ברכות,סידור נוסח אשכנז,סידור,"http://mobile.tora.ws/index.html?bgf=lnn(2230105,0,0)",1
2220227,בראשית,סדר קריאה בתורה,"סידור , סידור נוסח אשכנז","http://mobile.tora.ws/index.html?bgf=lnn(2220227,0,0)",1
2220228,שמות,סדר קריאה בתורה,"סידור , סידור נוסח אשכנז","http://mobile.tora.ws/index.html?bgf=lnn(2220228,0,0)",1
2220229,ויקרא,סדר קריאה בתורה,"סידור , סידור נוסח אשכנז","http://mobile.tora.ws/index.html?bgf=lnn(2220229,0,0)",1
2220230,במדבר,סדר קריאה בתורה,"סידור , סידור נוסח אשכנז","http://mobile.tora.ws/index.html?bgf=lnn(2220230,0,0)",1
2220231,דברים,סדר קריאה בתורה,"סידור , סידור נוסח אשכנז","http://mobile.tora.ws/index.html?bgf=lnn(2220231,0,0)",1
2220232,קריאה למועדים,סדר קריאה בתורה,"סידור , סידור נוסח אשכנז","http://mobile.tora.ws/index.html?bgf=lnn(2220232,0,0)",1
2220237,התרת נדרים,סידור נוסח אשכנז,סידור,"http://mobile.tora.ws/index.html?bgf=lnn(2220237,0,0)",
2250101,שחרית,סידור נוסח תימן,סידור,"http://mobile.tora.ws/index.html?bgf=lnn(2250101,0,0)",1
2250103,מנחה,סידור נוסח תימן,סידור,"http://mobile.tora.ws/index.html?bgf=lnn(2250103,0,0)",1
2250102,ערבית,סידור נוסח תימן,סידור,"http://mobile.tora.ws/index.html?bgf=lnn(2250102,0,0)",1
2250105,ברכת המזון,סידור נוסח תימן,סידור,"http://mobile.tora.ws/index.html?bgf=lnn(2250105,0,0)",1
2270001,פולין (ספרד),סליחות,סידור,"http://mobile.tora.ws/index.html?bgf=lnn(2270001,0,0)",1
2270002,ספרדי ועדות המזרח,סליחות,סידור,"http://mobile.tora.ws/index.html?bgf=lnn(2270002,0,0)",1
2260002,קדיש,סידור,,"http://mobile.tora.ws/index.html?bgf=lnn(2260002,0,0)",1
224001,לקט תפילות,סידור,,"http://mobile.tora.ws/index.html?bgf=lnn(224001,0,0)",1
224007,סדר מעמדות,סידור,,"http://mobile.tora.ws/index.html?bgf=lnn(224007,0,0)",1
222555,פרקי שירה,סידור,,"http://mobile.tora.ws/index.html?bgf=lnn(222555,0,0)",1
2260001,הגדה של פסח,סידור,,"http://mobile.tora.ws/index.html?bgf=lnn(2260001,0,0)",1
1,בראשית,תורה לפי פרקים (פרשנים),"תנ''ך , תורה","http://mobile.tora.ws/index.html?bgf=lnn(1,0,0)",50
2,שמות,תורה לפי פרקים (פרשנים),"תנ''ך , תורה","http://mobile.tora.ws/index.html?bgf=lnn(2,0,0)",40
3,ויקרא,תורה לפי פרקים (פרשנים),"תנ''ך , תורה","http://mobile.tora.ws/index.html?bgf=lnn(3,0,0)",27
4,במדבר,תורה לפי פרקים (פרשנים),"תנ''ך , תורה","http://mobile.tora.ws/index.html?bgf=lnn(4,0,0)",36
5,דברים,תורה לפי פרקים (פרשנים),"תנ''ך , תורה","http://mobile.tora.ws/index.html?bgf=lnn(5,0,0)",34
999001,פרשת בראשית,בראשית,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999001,0,0)",1
999002,פרשת נח,בראשית,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999002,0,0)",1
999003,פרשת לך לך,בראשית,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999003,0,0)",1
999004,פרשת וירא,בראשית,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999004,0,0)",1
999005,פרשת חיי שרה,בראשית,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999005,0,0)",1
999006,פרשת תולדות,בראשית,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999006,0,0)",1
999007,פרשת ויצא,בראשית,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999007,0,0)",1
999008,פרשת וישלח,בראשית,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999008,0,0)",1
999009,פרשת וישב,בראשית,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999009,0,0)",1
999010,פרשת מקץ,בראשית,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999010,0,0)",1
999011,פרשת ויגש,בראשית,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999011,0,0)",1
999012,פרשת ויחי,בראשית,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999012,0,0)",1
999101,פרשת שמות,שמות,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999101,0,0)",1
999102,פרשת וארא,שמות,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999102,0,0)",1
999103,פרשת בא,שמות,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999103,0,0)",1
999104,פרשת בשלח,שמות,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999104,0,0)",1
999105,פרשת יתרו,שמות,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999105,0,0)",1
999106,פרשת משפטים,שמות,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999106,0,0)",1
999107,פרשת תרומה,שמות,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999107,0,0)",1
999108,פרשת תצוה,שמות,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999108,0,0)",1
999109,פרשת כי תשא,שמות,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999109,0,0)",1
999110,פרשת ויקהל,שמות,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999110,0,0)",1
999111,פרשת פקודי,שמות,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999111,0,0)",1
999201,פרשת ויקרא,ויקרא,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999201,0,0)",1
999202,פרשת צו,ויקרא,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999202,0,0)",1
999203,פרשת שמיני,ויקרא,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999203,0,0)",1
999204,פרשת תזריע,ויקרא,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999204,0,0)",1
999205,פרשת מצורע,ויקרא,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999205,0,0)",1
999206,פרשת אחרי מות,ויקרא,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999206,0,0)",1
999207,פרשת קדושים,ויקרא,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999207,0,0)",1
999208,פרשת אמור,ויקרא,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999208,0,0)",1
999209,פרשת בהר,ויקרא,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999209,0,0)",1
999210,פרשת בחקתי,ויקרא,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999210,0,0)",1
999301,פרשת במדבר,במדבר,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999301,0,0)",1
999302,פרשת נשא,במדבר,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999302,0,0)",1
999303,פרשת בהעלתך,במדבר,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999303,0,0)",1
999304,פרשת שלח לך,במדבר,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999304,0,0)",1
999305,פרשת קרח,במדבר,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999305,0,0)",1
999306,פרשת חקת,במדבר,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999306,0,0)",1
999307,פרשת בלק,במדבר,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999307,0,0)",1
999308,פרשת פינחס,במדבר,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999308,0,0)",1
999309,פרשת מטות,במדבר,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999309,0,0)",1
999310,פרשת מסעי,במדבר,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999310,0,0)",1
999401,פרשת דברים,דברים,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999401,0,0)",1
999402,פרשת ואתחנן,דברים,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999402,0,0)",1
999403,פרשת עקב,דברים,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999403,0,0)",1
