original path,target path,ForcedBookName,SearchInTitles,LastLevelIndex,CosmeticsType,PasukIndMode,HiddenFromIndex,FilesGotFrom,PutNewLinesAsIs,DisplayName,UniqueId,MixedSources,WeaveLevel,SpecialTitle,MixedDisplay,TextSource,GroupId,BranchName,Comments,RavMechaber,ChainFolderName
005_mprsi_mkra\01_trgom\01_i_onqelus.obk,מפרשי מקרא\תרגום\בראשית - תרגום אונקלוס.txt,,,2,,,,,,בראשית - תרגום אונקלוס,1623,,,,,ר' פנחס ראובן שליט''א,b1,,,,
005_mprsi_mkra\01_trgom\02_i_onqelus.obk,מפרשי מקרא\תרגום\שמות - תרגום אונקלוס.txt,,,2,,,,,,שמות - תרגום אונקלוס,1624,,,,,ר' פנחס ראובן שליט''א,b2,,,,
005_mprsi_mkra\01_trgom\03_i_onqelus.obk,מפרשי מקרא\תרגום\ויקרא - תרגום אונקלוס.txt,,,2,,,,,,ויקרא - תרגום אונקלוס,1625,,,,,ר' פנחס ראובן שליט''א,b3,,,,
005_mprsi_mkra\01_trgom\04_i_onqelus.obk,מפרשי מקרא\תרגום\במדבר - תרגום אונקלוס.txt,,,2,,,,,,במדבר - תרגום אונקלוס,1626,,,,,ר' פנחס ראובן שליט''א,b4,,,,
005_mprsi_mkra\01_trgom\05_i_onqelus.obk,מפרשי מקרא\תרגום\דברים - תרגום אונקלוס.txt,,,2,,,,,,דברים - תרגום אונקלוס,1627,,,,,ר' פנחס ראובן שליט''א,b5,,,,
005_mprsi_mkra\02_trgom_iontn\e01_Genesis.obk,מפרשי מקרא\תרגום יונתן\בראשית - תרגום יונתן.txt,,0,2,,,,,,בראשית - תרגום יונתן,1588,,,,,ויקיטקסט,b1,,,,
005_mprsi_mkra\02_trgom_iontn\e02_Exodus.obk,מפרשי מקרא\תרגום יונתן\שמות - תרגום יונתן.txt,,0,2,,,,,,שמות - תרגום יונתן,1589,,,,,ויקיטקסט,b2,,,,
005_mprsi_mkra\02_trgom_iontn\e03_Leviticus.obk,מפרשי מקרא\תרגום יונתן\ויקרא - תרגום יונתן.txt,,0,2,,,,,,ויקרא - תרגום יונתן,1590,,,,,ויקיטקסט,b3,,,,
005_mprsi_mkra\02_trgom_iontn\e04_Numbers.obk,מפרשי מקרא\תרגום יונתן\במדבר - תרגום יונתן.txt,,0,2,,,,,,במדבר - תרגום יונתן,1591,,,,,ויקיטקסט,b4,,,,
005_mprsi_mkra\02_trgom_iontn\e05_Deuteronomy.obk,מפרשי מקרא\תרגום יונתן\דברים - תרגום יונתן.txt,,0,2,,,,,,דברים - תרגום יונתן,1592,,,,,ויקיטקסט,b5,,,,
