original path,target path,ForcedBookName,SearchInTitles,LastLevelIndex,CosmeticsType,PasukIndMode,HiddenFromIndex,FilesGotFrom,PutNewLinesAsIs,DisplayName,UniqueId,MixedSources,WeaveLevel,SpecialTitle,MixedDisplay,TextSource,GroupId,BranchName,Comments,RavMechaber,ChainFolderName
040_rasonim_ss/02_tospot/29_Bav_HORAYOT_L3.obk,ראשונים שס/תוספות/הוריות.txt,,1,2,,0,1,,1,הוריות,1029,,,,0,ר' פנחס ראובן שליטא,bav_horayot,,,,1
040_rasonim_ss/02_tospot/15_Bav_KTUBOT_L3.obk,ראשונים שס/תוספות/תלמוד בבלי - כתובות - תוספות.txt,,1,2,,0,0,,1,תלמוד בבלי - כתובות - תוספות,922,,,,0,ר' פנחס ראובן שליטא,bav_ktubot,,,,1
040_rasonim_ss/02_tospot/32_Bav_HULIN_L3.obk,ראשונים שס/תוספות/תלמוד בבלי - חולין - תוספות.txt,,1,2,,0,0,,1,תלמוד בבלי - חולין - תוספות,1047,,,,0,ר' פנחס ראובן שליטא,bav_hulin,,,,1
040_rasonim_ss/02_tospot/06_Bav_ROSH_HASHANA_L3.obk,ראשונים שס/תוספות/תלמוד בבלי - ראש השנה - תוספות.txt,,1,2,,0,0,,1,תלמוד בבלי - ראש השנה - תוספות,1108,,,,0,ר' פנחס ראובן שליטא,rosh_hashana,,,,1
085_mnin_hmzoot/015_hinuch.obk,מנין המצוות/ספר החינוך.txt,,,1,,,,,,ספר החינוך,1644,,,,,ר' פנחס ראובן שליט''א,,,,,
085_mnin_hmzoot/0020_RAMBAM-MRG_L1.obk,מנין המצוות/ספר המצוות.txt,,1,2,,0,0,,1,ספר המצוות,1552,,,,0,תורת אמת <BR>הספר אינו מוגה דיו - נשמח לקבל את הגהותיכם,,,,,1
080_poskim_ahronim/050_aruch_hasulchan1.obk,פוסקים אחרונים/ערוך השולחן - אורח חיים.txt,,,,,,,,,,,,,,,,,ערוך השולחן,,,
080_poskim_ahronim/105_kitzur.obk,פוסקים אחרונים/קיצור שולחן ערוך.txt,,1,1,,0,0,,1,קיצור שולחן ערוך,561,,,,0,ארגון שופר,,,,,1
080_poskim_ahronim/050_aruch_hasulchan1/009hlcot_kriat_spr_torh.obk,פוסקים אחרונים/ערוך השולחן - אורח חיים/הלכות קריאת ספר תורה.txt,,,1,,,,,,הלכות קריאת ספר תורה,15829,,,,,''ויקיטקסט'',,,,,
080_poskim_ahronim/050_aruch_hasulchan1/006hlcot_tplh.obk,פוסקים אחרונים/ערוך השולחן - אורח חיים/הלכות תפלה.txt,,,1,,,,,,הלכות תפלה,15826,,,,,''ויקיטקסט'',,,,,
080_poskim_ahronim/050_aruch_hasulchan1/018hlcot_psh.obk,פוסקים אחרונים/ערוך השולחן - אורח חיים/הלכות פסח.txt,,,1,,,,,,הלכות פסח,158218,,,,,''ויקיטקסט'',,,,,
080_poskim_ahronim/050_aruch_hasulchan1/021hlcot_tsuh_bab_osar_tuniot.obk,פוסקים אחרונים/ערוך השולחן - אורח חיים/הלכות תשעה באב ושאר תעניות.txt,,,1,,,,,,הלכות תשעה באב ושאר תעניות,158221,,,,,''ויקיטקסט'',,,,,
080_poskim_ahronim/050_aruch_hasulchan1/028hlcot_mgilh_oporim.obk,פוסקים אחרונים/ערוך השולחן - אורח חיים/הלכות מגילה ופורים.txt,,,1,,,,,,הלכות מגילה ופורים,158228,,,,,''ויקיטקסט'',,,,,
080_poskim_ahronim/050_aruch_hasulchan1/027hlcot_hnoch.obk,פוסקים אחרונים/ערוך השולחן - אורח חיים/הלכות חנוכה.txt,,,1,,,,,,הלכות חנוכה,158227,,,,,''ויקיטקסט'',,,,,
080_poskim_ahronim/050_aruch_hasulchan1/005hlcot_kriat_smu.obk,פוסקים אחרונים/ערוך השולחן - אורח חיים/הלכות קריאת שמע.txt,,,1,,,,,,הלכות קריאת שמע,15825,,,,,''ויקיטקסט'',,,,,
080_poskim_ahronim/050_aruch_hasulchan1/001hlcot_hnhgt_adm_bbokr.obk,פוסקים אחרונים/ערוך השולחן - אורח חיים/הלכות הנהגת אדם בבוקר.txt,,,1,,,,,,הלכות הנהגת אדם בבוקר,15821,,,,,''ויקיטקסט'',,,,,
080_poskim_ahronim/050_aruch_hasulchan1/010hlcot_bit_hcnst.obk,פוסקים אחרונים/ערוך השולחן - אורח חיים/הלכות בית הכנסת.txt,,,1,,,,,,הלכות בית הכנסת,158210,,,,,''ויקיטקסט'',,,,,
080_poskim_ahronim/050_aruch_hasulchan1/011hlcot_msa_omtn.obk,פוסקים אחרונים/ערוך השולחן - אורח חיים/הלכות משא ומתן.txt,,,1,,,,,,הלכות משא ומתן,158211,,,,,''ויקיטקסט'',,,,,
080_poskim_ahronim/050_aruch_hasulchan1/020hlcot_hol_hmoud.obk,פוסקים אחרונים/ערוך השולחן - אורח חיים/הלכות חול המועד.txt,,,1,,,,,,הלכות חול המועד,158220,,,,,''ויקיטקסט'',,,,,
080_poskim_ahronim/050_aruch_hasulchan1/026hlcot_lolb.obk,פוסקים אחרונים/ערוך השולחן - אורח חיים/הלכות לולב.txt,,,1,,,,,,הלכות לולב,158226,,,,,''ויקיטקסט'',,,,,
080_poskim_ahronim/050_aruch_hasulchan1/007hlcot_nsiat_cpim.obk,פוסקים אחרונים/ערוך השולחן - אורח חיים/הלכות נשיאת כפים.txt,,,1,,,,,,הלכות נשיאת כפים,15827,,,,,''ויקיטקסט'',,,,,
080_poskim_ahronim/050_aruch_hasulchan1/003hlcot_tpilin.obk,פוסקים אחרונים/ערוך השולחן - אורח חיים/הלכות תפילין.txt,,,1,,,,,,הלכות תפילין,15823,,,,,''ויקיטקסט'',,,,,
080_poskim_ahronim/050_aruch_hasulchan1/024hlcot_iom_hciporim.obk,פוסקים אחרונים/ערוך השולחן - אורח חיים/הלכות יום הכיפורים.txt,,,1,,,,,,הלכות יום הכיפורים,158224,,,,,''ויקיטקסט'',,,,,
080_poskim_ahronim/050_aruch_hasulchan1/008hlcot_npilt_apim.obk,פוסקים אחרונים/ערוך השולחן - אורח חיים/הלכות נפילת אפים.txt,,,1,,,,,,הלכות נפילת אפים,15828,,,,,''ויקיטקסט'',,,,,
080_poskim_ahronim/050_aruch_hasulchan1/012hlcot_ntilt_idim.obk,פוסקים אחרונים/ערוך השולחן - אורח חיים/הלכות נטילת ידים.txt,,,1,,,,,,הלכות נטילת ידים,158212,,,,,''ויקיטקסט'',,,,,
