ID Book,Title,Author,Printing Place,Printing Year,Pub. Place,Pub. Date,Pages,OCLC ID,ULI Entry,Source,Go to External Site,Catalog Information,Content,MARC record,Tags
20000,שיעורי רבי דוד פוברסקי - בבא בתרא - חלק ב,"פוברסקי, יהושע דוד, 1902-1999",,תשסב,,2002,416,,,,,,,,בבא בתרא;מסכת
20001,שיעורי רבי דוד פוברסקי - בבא קמא - חלק ג,"פוברסקי, יהושע דוד, 1902-1999",,תשסב,,2002,320,,,,,,,,בבא קמא;מסכת
20002,שיעורי רבי דוד פוברסקי - בבא קמא - חלק ב,"פוברסקי, יהושע דוד, 1902-1999",,תשסב,,2002,318,,,,,,,,בבא קמא;מסכת
20003,שיעורי רבי דוד פוברסקי - בבא מציעא - חלק א,"פוברסקי, יהושע דוד, 1902-1999",,תשסא,,2001,340,,,,,,,,בבא מציעא;מסכת
20004,שיעורי רבי דוד פוברסקי - בבא מציעא - חלק ב,"פוברסקי, יהושע דוד, 1902-1999",,תשסג,,2003,356,,,,,,,,בבא מציעא;מסכת
20005,שיעורי רבי דוד פוברסקי - בבא מציעא - חלק ד,"פוברסקי, יהושע דוד, 1902-1999",,תשסג,,2003,320,,,,,,,,בבא מציעא;מסכת
20006,שיעורי רבי דוד פוברסקי - גיטין - חלק א,"פוברסקי, יהושע דוד, 1902-1999",,תשס,,2000,337,,,,,,,,גיטין;מסכת
20007,שיעורי רבי דוד פוברסקי - גיטין - חלק ב,"פוברסקי, יהושע דוד, 1902-1999",,תשסב,,2002,329,,,,,,,,גיטין;מסכת
20008,שיעורי רבי דוד פוברסקי - גיטין - חלק ג,"פוברסקי, יהושע דוד, 1902-1999",,תשסב,,2002,312,,,,,,,,גיטין;מסכת
20009,שיעורי רבי דוד פוברסקי - כתובות - חלק א,"פוברסקי, יהושע דוד, 1902-1999",,תשס,,2000,352,,,,,,,,כתובות;מסכת
20010,שיעורי רבי דוד פוברסקי - כתובות - חלק ג,"פוברסקי, יהושע דוד, 1902-1999",,תשסה,,2005,344,,,,,,,,כתובות;מסכת
20011,שיעורי רבי דוד פוברסקי - קידושין - חלק א,"פוברסקי, יהושע דוד, 1902-1999",,תשס,,2000,316,,,,,,,,מסכת;קידושין
20012,שיעורי רבי דוד פוברסקי - מכות,"פוברסקי, יהושע דוד, 1902-1999",,תשסד,,2004,288,,,,,,,,מכות;מסכת
20013,שיעורי רבי דוד פוברסקי - נדרים,"פוברסקי, יהושע דוד, 1902-1999",,תשלח,,1978,384,,,,,,,,מסכת;נדרים
20014,שיעורי רבי דוד פוברסקי - פסחים - חלק א,"פוברסקי, יהושע דוד, 1902-1999",,תשסג,,2003,382,,,,,,,,מסכת;פסחים
20015,שיעורי רבי דוד פוברסקי - פסחים - חלק ד,"פוברסקי, יהושע דוד, 1902-1999",,תשסג,,2003,272,,,,,,,,מסכת;פסחים
20016,שיעורי רבי דוד פוברסקי - סנהדרין - חלק א,"פוברסקי, יהושע דוד, 1902-1999",,תשס,,2000,255,,,,,,,,מסכת;סנהדרין
20017,שיעורי רבי דוד פוברסקי - סנהדרין - חלק ב,"פוברסקי, יהושע דוד, 1902-1999",,תשסא,,2001,314,,,,,,,,מסכת;סנהדרין
20018,שיעורי רבי דוד פוברסקי - יבמות - חלק א,"פוברסקי, יהושע דוד, 1902-1999",,תשס,,2000,342,,,,,,,,יבמות;מסכת
20019,שיעורי רבי דוד פוברסקי - יבמות - חלק ב,"פוברסקי, יהושע דוד, 1902-1999",,תשס,,2000,332,,,,,,,,יבמות;מסכת
