ID Book,Title,Author,Printing Place,Printing Year,Pub. Place,Pub. Date,Pages,OCLC ID,ULI Entry,Source,Go to External Site,Catalog Information,Content,MARC record,Tags
2729,תורתו של שם - חלק ב,"נכס, שלמה מיכאל בן יצחק, 1891-1954",לוס אנג'לס,תרצ,Los Angeles,1930,48,,,,,222.78 -- Bible. Pentateuch (Tora) - Hiddushim.,,,"עה""ת;שמות"
2730,תורתו של שם - חלק ג,"נכס, שלמה מיכאל בן יצחק, 1891-1954",לוס אנג'לס,תרצ,Los Angeles,1930,36,,,,,"תנ""ך. -- תורהדרושים, שיחות ואמרים",,,"ויקרא;עה""ת"
2731,תורתו של שם - חלק ד,"נכס, שלמה מיכאל בן יצחק, 1891-1954",לוס אנג'לס,תרצ,Los Angeles,1930,39,,,,,"תנ""ך. -- תורהדרושים, שיחות ואמרים",,,"במדבר;עה""ת"
2732,תורתו של שם - חלק ה,"נכס, שלמה מיכאל בן יצחק, 1891-1954",לוס אנג'לס,תרצ,Los Angeles,1930,53,,,,,222.78 -- Bible. Pentateuch (Tora) - Hiddushim.,,,"דברים;עה""ת"
2733,תורה צו גאט און צו לייט,"מליץ, חיים",ניו יורק,תרעח,New York,1918,248,,,,,"296.451=924.9 -- Sermons on the weekly sections of the law, Derashot le-Shabatot - Yiddish.",,,"דרשות;יידיש;עה""ת"
2734,תורה והלכה,"זילברשטין, אברהם שמואל צבי הירש, 1885-1951",טורונטו,תרחצ,Toronto,1938,183,,,,,דרשות (פרשת השבוע: הלכתי),,,"בראשית;עה""ת"
2735,תורי זהב,"אברמסון, שמואל אביגדור, 1866-1941",ניו יורק,תרפו,New York,1926,105,,,,,"296.572(73)(090.4) -- Sheelot utshuvot, responsa - Aharonim - United States- 20th (twentieth) century",,,"מוסר;צדקה;שו""ת"
2736,צבי חמד - קונטרסים כח-כט,"פרידמן, צבי הירש בן מנשה שמחה, -1969",ניו יורק,תשג,New York,1943,89,,,,,אתרוג -- הלכה.,,,"הבלת הבשר ע""י עכו""ם;הלכה;שבת;שו""ת"
2737,צדיק לברכה,"איזנשטט, בנציון בן משה, 1873-1951",ניו יורק,תרעט,New York,1919,23,,,,,בריסק (רוסיה הלבנה) -- ביוגרפיה,,,"בריסק;גאונים;חיים הלוי זצ""ל סאלווייצינ;רבנים"
2738,צייט-מאטיווען,מרדכי מייער,ניו יורק,תשב,New York,1942,288,,,,,יהדות -- מאמרים,,,דרשות;יידיש
2739,צמח השדה,"זיויץ, משה שמעון בן יחזקאל, 1852-1936",פיטסבורג,תרחצ,Pittsburgh,1938,149,,,,,"296.45 -- Sermons, Derashot - Hebrew.",,,דרשות
2740,צבי חמד - קונטרס יג,"פרידמן, צבי הירש בן מנשה שמחה, -1969",ניו יורק,תרצו,New York,1936,70,,,,,אתרוג -- הלכה.,,,"כשרות;רבנות;שבת;שו""ת"
2741,צבי חמד - קונטרס ג,"פרידמן, צבי הירש בן מנשה שמחה, -1969",ניו יורק,תרפו,New York,1926,33,,,,,"פרידמן, מנשה שמחה",,,השקפה;חידושים
2742,קול יעקב (באנגלית),יעקב רייכמן,ניו יורק,תש,New York,1940,246,,,,,,,,גאונים;דרשות
2743,ווארט און צייט חלק ב,"מנטל, יחיאל",ברוקלין,תרחצ,Brooklyn,1938,330,,,,,"296.45=924.9 -- Sermons, Derashot - Yiddish.",,,דרשות;יידיש
2744,וזאת ליהודה,יהודה ליב זעלצער,תל אביב,תשיט,Tel Aviv,1959,349,,,,,נצרות -- יחסיםיהדות.,,,"סוגיות;שו""ת"
