286,/p167/m286,קינה על מות ר' מנחם רפאל קראקוביא מויניציאה,משה חיים לוצטו,,982845,,,שירה,
287,/p180/m287,[הנשית מידעי],שלמה אבן גבירול,,239355,,,שירה,
299,/p77/m299,[רַקַּת יְפַת תֹּאַר],וידל בנבנשתי,,7927660,,,שירה,
307,/p49/m307,חשב אשר,שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
308,/p49/m308,חֲשוּךְ חֶבְרָה,שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
309,/p49/m309,זָרַע בְּלִי,שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
310,/p49/m310,[חוּס עַל],שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
313,/p161/m313,בעלת כשפים,יהודה הלוי,,299200,,,שירה,
314,/p161/m314,[שובי נפשי למנוחיכי],יהודה הלוי,,299200,,,שירה,
316,/p180/m316,[לכה רעי],שלמה אבן גבירול,,239355,,,שירה,
318,/p203/m318,מעשה יונה הנביא – רהיט ליום הכיפורים,יצחק אבן גיאת,,2909247,,,שירה,
319,/p204/m319,[תלונה על הזמן -- אל משה אבן-עזרא],יוסף אבן סהל,,25489583,,,שירה,
320,/p202/m320,קדושה,יוסף אבן אביתור,,551536,,,שירה,השירה העברית בספרד ובפרובאנס / חיים שירמן. ירושלים : מוסד ביאליק
321,/p197/m321,תשובה על הזמנה למשתה יין,דונש בן לברט,,720129,,,שירה,ירושלים: מוסד הרב קוק
322,/p202/m322,פזמון,יוסף אבן אביתור,,551536,,,שירה,השירה העברית בספרד ובפרובאנס / חיים שירמן. ירושלים : מוסד ביאליק
323,/p201/m323,[תאווה לנה],יוסף אבן צדיק,,958426,,,שירה,
324,/p201/m324,מוחרך,יוסף אבן צדיק,,958426,,,שירה,
325,/p201/m325,רשות,יוסף אבן צדיק,,958426,,,שירה,
326,/p209/m326,אל חסדאי אבן-שפרוט,יצחק אבן קפרון,,,,,שירה,
327,/p197/m327,זמר לשבת,דונש בן לברט,,720129,,,שירה,
328,/p201/m328,[דברי ברכה ליהודה הלוי],יוסף אבן צדיק,,958426,,,שירה,
329,/p202/m329,קינה על הפרעות בארץ-ישראל,יוסף אבן אביתור,,551536,,,שירה,השירה העברית בספרד ובפרובאנס / חיים שירמן. ירושלים : מוסד ביאליק
330,/p210/m330,אהבה,יוסף אבן ששת,,,,,שירה,
333,/p203/m333,מאורה,יצחק אבן גיאת,,2909247,,,שירה,
334,/p203/m334,גמר לשמע ישראל,יצחק אבן גיאת,,2909247,,,שירה,
335,/p203/m335,תוכחה,יצחק אבן גיאת,,2909247,,,שירה,
336,/p203/m336,רשות לקדיש,יצחק אבן גיאת,,2909247,,,שירה,
337,/p203/m337,מחרך,יצחק אבן גיאת,,2909247,,,שירה,
339,/p203/m339,אהבה [בעלת אוב וקסם],יצחק אבן גיאת,,2909247,,,שירה,
341,/p203/m341,סילוק (קטע),יצחק אבן גיאת,,2909247,,,שירה,
342,/p203/m342,גאולה,יצחק אבן גיאת,,2909247,,,שירה,
343,/p203/m343,אהבה [יושב במעמק מצולה],יצחק אבן גיאת,,2909247,,,שירה,
344,/p203/m344,אופן,יצחק אבן גיאת,,2909247,,,שירה,
345,/p203/m345,סליחה,יצחק אבן גיאת,,2909247,,,שירה,
347,/p203/m347,רשות (?),יצחק אבן גיאת,,2909247,,,שירה,
348,/p203/m348,אהבה [שדי שובבה חולת אהבה],יצחק אבן גיאת,,2909247,,,שירה,
349,/p203/m349,קינה לתשעה באב,יצחק אבן גיאת,,2909247,,,שירה,
350,/p201/m350,[אין די לחילי],יוסף אבן צדיק,,958426,,,שירה,
351,/p200/m351,"מכתמים מתוך ""שקל הקודש""",יוסף קמחי,,1371519,,,שירה,
352,/p197/m352,שיר תהילה לחסדאי אבן-שפרוט,דונש בן לברט,,720129,,,שירה,ירושלים: מוסד הרב קוק
353,/p201/m353,[המנגן],יוסף אבן צדיק,,958426,,,שירה,
354,/p202/m354,סליחה,יוסף אבן אביתור,,551536,,,שירה, השירה העברית בספרד ובפרובאנס / חיים שירמן. ירושלים : מוסד ביאליק
365,/p211/m365,[לכבודו של יצחק אבן-מהאג'ר],יוסף אבן ברזל,,,,,שירה,
366,/p213/m366,אופן,אוהב בן מאיר הנשיא,,,,,שירה,
367,/p198/m367,[שירי זרח],יהודה אבן שבתי,,,,,שירה,
422,/p20/m422,אמור מה שם צבי,אברהם אבן עזרא,,270670,,,שירה,
423,/p20/m423,בָּאתִי בְיוֹם צוֹם,אברהם אבן עזרא,,270670,,,שירה,
424,/p170/m424,[כֹּחַ לֹא עָצַרְתִּי],משה אבן עזרא,,719393,,,שירה,
426,/p170/m426,תם אהל צדק,משה אבן עזרא,,719393,,,שירה,
427,/p170/m427,מחשב תבונתי,משה אבן עזרא,,719393,,,שירה,
453,/p77/m453,[שְׂעִפַּי יָנוּעוּ],וידל בנבנשתי,,7927660,,,שירה,
468,/p49/m468,זדים אשר מנעו,שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
469,/p49/m469,טוֹרָד וְלֹא,שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
470,/p49/m470,[כְּמוֹ זֹאת],שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
471,/p49/m471,ושואל למי אקרב,שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
491,/p180/m491,[שואל דוה לבב],שלמה אבן גבירול,,239355,,,שירה,
510,/p79/m510,בְּמִשְׁכָּבִי קְרָבַי,יצחק אבן כלפון,,7028939,,,שירה,
511,/p20/m511,[בָּרְכִי נַפְשִׁי אֲשֶׁר לוֹ הַגְּדֻלָּה],אברהם אבן עזרא,,270670,,,שירה,
516,/p170/m516,[כָּל הַנְּפָשִׁים נִנְהִים],משה אבן עזרא,,719393,,,שירה,
544,/p243/m544,ישתבח שם אל בכל שירה,שמעון בן צמח דוּרָאן,,2918665,,,שירה,
553,/p77/m553,שאלו נבלים,וידל בנבנשתי,,7927660,,,שירה,
576,/p161/m576,לא מתמול פיות שחוק נמלאו (ליוסף (אבו עמר) בן ברון),יהודה הלוי,,299200,,,שירה,
588,/p49/m588,חתך על תם,שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
589,/p49/m589,חלוש מכה,שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
590,/p49/m590,עיני עלי,שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
591,/p49/m591,אָשִׂישׂ בְּדָבָר,שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
604,/p223/m604,ספר הכוזרי: מאמר שלישי,יהודה הלוי,יהודה אבן תיבון,299200,745336,ar,עיון,
605,/p166/m605,ימי פרס: חיזוק מושב ישראל בארצו בידי נחמיה,זאב יעבץ,,12407187,,,עיון,
606,/p180/m606,שְׁבִיָּה עֲנִיָּה,שלמה אבן גבירול,,239355,,,שירה,
617,/p20/m617,כל עצמותי,אברהם אבן עזרא,,270670,,,שירה,
618,/p170/m618,אל יד חותם תכנית יובא,משה אבן עזרא,,719393,,,שירה,
620,/p170/m620,אנא כעב זדוני תמחהו,משה אבן עזרא,,719393,,,שירה,
621,/p170/m621,בני לו תחזה אתי בקברי,משה אבן עזרא,,719393,,,שירה,
632,/p146/m632,איומה את פני דודך,שלום שבזי,,,,,שירה,
634,/p180/m634,[שור כי יפה],שלמה אבן גבירול,,239355,,,שירה,
639,/p77/m639,[מַלְאַךְ אֱלֹהִים],וידל בנבנשתי,,7927660,,,שירה,
640,/p49/m640,[הַאֶעֱצֹר נַחֲלֵי],שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
643,/p49/m643,מָאִם בְּפִלְכַּיָּא,שמואל הנגיד,,467161,,,מכתבים,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
651,/p49/m651,הֲיֵשׁ שִׂמְחָה,שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
652,/p49/m652,טרם קחתך,שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
653,/p49/m653,ואומר היש מום,שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
654,/p49/m654,בהקריבך רחוקי,שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
660,/p180/m660,[שורש בנו],שלמה אבן גבירול,,239355,,,שירה,
671,/p79/m671,[אֲנִי מוֹדֶה],יצחק אבן כלפון,,7028939,,,שירה,
675,/p20/m675,אל נהר סוד,אברהם אבן עזרא,,270670,,,שירה,
676,/p20/m676,[אבות קדושים דת ירשו],אברהם אבן עזרא,,270670,,,שירה,
677,/p170/m677,רוּחַ שְׂשׂוֹנִי וְחֵן מַנְעַמָּיו,משה אבן עזרא,,719393,,,שירה,
679,/p170/m679,וְכוֹס שׂהַם אֲשֶׁר יֵינוֹ,משה אבן עזרא,,719393,,,שירה,
680,/p170/m680,[נִבְטַח בְּהָפִיק זְמָן כִּמְעַט זְמָמֵינוּ],משה אבן עזרא,,719393,,,שירה,
696,/p77/m696,תבל ככלה,וידל בנבנשתי,,7927660,,,שירה,
703,/p49/m703,[אָדָם אֲשֶׁר],שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
