תאריך,מסכת,פרק,משנה,סימן,סעיף,ספר הלכה,עברי
22/09/16,תרומות,א,ח-ט,מג-מד,ח-א,"שו""ע או""ח","יט אלול תשע""ו"
23/09/16,תרומות,א-ב,י-א,מה-מו,א-א,"שו""ע או""ח","כ אלול תשע""ו"
24/09/16,תרומות,ב,ב-ג,מו,ב-ד,"שו""ע או""ח","כא אלול תשע""ו"
25/09/16,תרומות,ב,ד-ה,מו,ה-ז,"שו""ע או""ח","כב אלול תשע""ו"
26/09/16,תרומות,ב-ג,ו-א,מו-מז,ח-א,"שו""ע או""ח","כג אלול תשע""ו"
27/09/16,תרומות,ג,ב-ג,מז,ב-ד,"שו""ע או""ח","כד אלול תשע""ו"
28/09/16,תרומות,ג,ד-ה,מז,ה-ז,"שו""ע או""ח","כה אלול תשע""ו"
29/09/16,תרומות,ג,ו-ז,מז,ח-י,"שו""ע או""ח","כו אלול תשע""ו"
30/09/16,תרומות,ג,ח-ט,מז,יא-יג,"שו""ע או""ח","כז אלול תשע""ו"
01/10/16,תרומות,ד,א-ב,מז-מח-מט,יד-א,"שו""ע או""ח","כח אלול תשע""ו"
02/10/16,תרומות,ד,ג-ד,נ-נא,א-ב,"שו""ע או""ח","כט אלול תשע""ו"
03/10/16,תרומות,ד,ה-ו,נא,ג-ה,"שו""ע או""ח","א תשרי תשע""ז"
04/10/16,תרומות,ד,ז-ח,נא,ו-ח,"שו""ע או""ח","ב תשרי תשע""ז"
05/10/16,תרומות,ד,ט-י,נא-נב-נג,ט-א,"שו""ע או""ח","ג תשרי תשע""ז"
06/10/16,תרומות,ד,יא-יב,נג,ב-ד,"שו""ע או""ח","ד תשרי תשע""ז"
07/10/16,תרומות,ד-ה,יג-א,נג,ה-ז,"שו""ע או""ח","ה תשרי תשע""ז"
08/10/16,תרומות,ה,ב-ג,נג,ח-י,"שו""ע או""ח","ו תשרי תשע""ז"
09/10/16,תרומות,ה,ד-ה,נג,יא-יג,"שו""ע או""ח","ז תשרי תשע""ז"
10/10/16,תרומות,ה,ו-ז,נג,יד-טז,"שו""ע או""ח","ח תשרי תשע""ז"
11/10/16,תרומות,ה,ח-ט,נג,יז-יט,"שו""ע או""ח","ט תשרי תשע""ז"
12/10/16,תרומות,ו,א-ב,נג,כ-כב,"שו""ע או""ח","י תשרי תשע""ז"
13/10/16,תרומות,ו,ג-ד,נג,כג-כה,"שו""ע או""ח","יא תשרי תשע""ז"
14/10/16,תרומות,ו,ה-ו,נג-נד,כו-ב,"שו""ע או""ח","יב תשרי תשע""ז"
15/10/16,תרומות,ז,א-ב,נד-נה,ג-ב,"שו""ע או""ח","יג תשרי תשע""ז"
16/10/16,תרומות,ז,ג-ד,נה,ג-ה,"שו""ע או""ח","יד תשרי תשע""ז"
17/10/16,תרומות,ז,ה-ו,נה,ו-ח,"שו""ע או""ח","טו תשרי תשע""ז"
18/10/16,תרומות,ז-ח,ז-א,נה,ט-יא,"שו""ע או""ח","טז תשרי תשע""ז"
19/10/16,תרומות,ח,ב-ג,נה,יב-יד,"שו""ע או""ח","יז תשרי תשע""ז"
20/10/16,תרומות,ח,ד-ה,נה,טו-יז,"שו""ע או""ח","יח תשרי תשע""ז"
21/10/16,תרומות,ח,ו-ז,נה,יח-כ,"שו""ע או""ח","יט תשרי תשע""ז"
22/10/16,תרומות,ח,ח-ט,נה-נו,כא-א,"שו""ע או""ח","כ תשרי תשע""ז"
23/10/16,תרומות,ח,י-יא,נו,ב-ד,"שו""ע או""ח","כא תשרי תשע""ז"
24/10/16,תרומות,ח-ט,יב-א,נו-נז,ה-ב,"שו""ע או""ח","כב תשרי תשע""ז"
25/10/16,תרומות,ט,ב-ג,נח,א-ג,"שו""ע או""ח","כג תשרי תשע""ז"
26/10/16,תרומות,ט,ד-ה,נח,ד-ו,"שו""ע או""ח","כד תשרי תשע""ז"
27/10/16,תרומות,ט,ו-ז,נח-נט,ז-ב,"שו""ע או""ח","כה תשרי תשע""ז"
28/10/16,תרומות,י,א-ב,נט,ג-ה,"שו""ע או""ח","כו תשרי תשע""ז"
29/10/16,תרומות,י,ג-ד,ס,א-ג,"שו""ע או""ח","כז תשרי תשע""ז"
30/10/16,תרומות,י,ה-ו,ס-סא,ד-ה-א,"שו""ע או""ח","כח תשרי תשע""ז"
31/10/16,תרומות,י,ז-ח,סא,ב-ג-ד,"שו""ע או""ח","כט תשרי תשע""ז"
01/11/16,תרומות,י,ט-י,סא,ה-ו-ז,"שו""ע או""ח","ל תשרי תשע""ז"
02/11/16,תרומות,י,יא-יב,סא,ח-ט-י,"שו""ע או""ח","א חשון תשע""ז"
03/11/16,תרומות,יא,א-ב,סא,יא-יב-יג,"שו""ע או""ח","ב חשון תשע""ז"
04/11/16,תרומות,יא,ג-ד,סא,יד-טו-טז,"שו""ע או""ח","ג חשון תשע""ז"
05/11/16,תרומות,יא,ה-ו,סא,יז-יח-יט,"שו""ע או""ח","ד חשון תשע""ז"
06/11/16,תרומות,יא,ז-ח,סא,כ-כב,"שו""ע או""ח","ה חשון תשע""ז"
07/11/16,תרומות,יא,ט-י,סא,כג-כה,"שו""ע או""ח","ו חשון תשע""ז"
08/11/16,מעשרות,א,א-ב,סא-סב,כו-ב,"שו""ע או""ח","ז חשון תשע""ז"
09/11/16,מעשרות,א,ג-ד,סב,ג-ה,"שו""ע או""ח","ח חשון תשע""ז"
10/11/16,מעשרות,א,ה-ו,סג,א-ג,"שו""ע או""ח","ט חשון תשע""ז"
11/11/16,מעשרות,א,ז-ח,סג,ד-ו,"שו""ע או""ח","י חשון תשע""ז"
12/11/16,מעשרות,ב,א-ב,סג,ז-ט,"שו""ע או""ח","יא חשון תשע""ז"
13/11/16,מעשרות,ב,ג-ד,סד,א-ג,"שו""ע או""ח","יב חשון תשע""ז"
14/11/16,מעשרות,ב,ה-ו,סד-סה,ד-ב,"שו""ע או""ח","יג חשון תשע""ז"
15/11/16,מעשרות,ב,ז-ח,סה-סו,ג-ב,"שו""ע או""ח","יד חשון תשע""ז"
16/11/16,מעשרות,ג,א-ב,סו,ג-ה,"שו""ע או""ח","טו חשון תשע""ז"
17/11/16,מעשרות,ג,ג-ד,סו,ו-ח,"שו""ע או""ח","טז חשון תשע""ז"
18/11/16,מעשרות,ג,ה-ו,סו-סז,ט-א,"שו""ע או""ח","יז חשון תשע""ז"
19/11/16,מעשרות,ג,ז-ח,סח-סט,א-ב,"שו""ע או""ח","יח חשון תשע""ז"
20/11/16,מעשרות,ג,ט-י,ע,א-ג,"שו""ע או""ח","יט חשון תשע""ז"
21/11/16,מעשרות,ד,א-ב,ע-עא,ד-א,"שו""ע או""ח","כ חשון תשע""ז"
22/11/16,מעשרות,ד,ג-ד,עא,ב-ד,"שו""ע או""ח","כא חשון תשע""ז"
23/11/16,מעשרות,ד,ה-ו,עא,ה-ז,"שו""ע או""ח","כב חשון תשע""ז"
24/11/16,מעשרות,ה,א-ב,עב,א-ג,"שו""ע או""ח","כג חשון תשע""ז"
25/11/16,מעשרות,ה,ג-ד,עב-עג,ד-א,"שו""ע או""ח","כד חשון תשע""ז"
26/11/16,מעשרות,ה,ה-ו,עג,ב-ד,"שו""ע או""ח","כה חשון תשע""ז"
27/11/16,מעשרות,ה,ז-ח,עד,א-ג,"שו""ע או""ח","כו חשון תשע""ז"
28/11/16,מעשר שני,א,א-ב,עד,ד-ו,"שו""ע או""ח","כז חשון תשע""ז"
29/11/16,מעשר שני,א,ג-ד,עה,א-ג,"שו""ע או""ח","כח חשון תשע""ז"
30/11/16,מעשר שני,א,ה-ו,עה,ד-ו,"שו""ע או""ח","כט חשון תשע""ז"
01/12/16,מעשר שני,א-ב,ז-א,עו,א-ג,"שו""ע או""ח","א כסלו תשע""ז"
02/12/16,מעשר שני,ב,ב-ג,עו,ד-ו,"שו""ע או""ח","ב כסלו תשע""ז"
03/12/16,מעשר שני,ב,ד-ה,עו-עז,ז-א,"שו""ע או""ח","ג כסלו תשע""ז"
04/12/16,מעשר שני,ב,ו-ז,עז-ח-ט,ב-א,"שו""ע או""ח","ד כסלו תשע""ז"
05/12/16,מעשר שני,ב,ח-ט,עט,ב-ד,"שו""ע או""ח","ה כסלו תשע""ז"
06/12/16,מעשר שני,ב-ג,י-א,עט,ה-ז,"שו""ע או""ח","ו כסלו תשע""ז"
07/12/16,מעשר שני,ג,ב-ג,עט-פ,ח-א,"שו""ע או""ח","ז כסלו תשע""ז"
08/12/16,מעשר שני,ג,ד-ה,פא-פב,א-א,"שו""ע או""ח","ח כסלו תשע""ז"
09/12/16,מעשר שני,ג,ו-ז,פב-פג,ב-ב,"שו""ע או""ח","ט כסלו תשע""ז"
10/12/16,מעשר שני,ג,ח-ט,פג,ג-ה,"שו""ע או""ח","י כסלו תשע""ז"
11/12/16,מעשר שני,ג,י-יא,פד-פה,א-ב,"שו""ע או""ח","יא כסלו תשע""ז"
12/12/16,מעשר שני,ג,יב-יג,פו-פז,א-ב,"שו""ע או""ח","יב כסלו תשע""ז"
13/12/16,מעשר שני,ד,א-ב,פז-ח-ט,ג-א,"שו""ע או""ח","יג כסלו תשע""ז"
14/12/16,מעשר שני,ד,ג-ד,פט,ב-ד,"שו""ע או""ח","יד כסלו תשע""ז"
15/12/16,מעשר שני,ד,ה-ו,פט,ה-ז,"שו""ע או""ח","טו כסלו תשע""ז"
16/12/16,מעשר שני,ד,ז-ח,פט-צ,ח-ב,"שו""ע או""ח","טז כסלו תשע""ז"
17/12/16,מעשר שני,ד,ט-י,צ,ג-ה,"שו""ע או""ח","יז כסלו תשע""ז"
18/12/16,מעשר שני,ד,יא-יב,צ,ו-ח,"שו""ע או""ח","יח כסלו תשע""ז"
19/12/16,מעשר שני,ה,א-ב,צ,ט-יא,"שו""ע או""ח","יט כסלו תשע""ז"
20/12/16,מעשר שני,ה,ג-ד,צ,יב-יד,"שו""ע או""ח","כ כסלו תשע""ז"
21/12/16,מעשר שני,ה,ה-ו,צ,טו-יז,"שו""ע או""ח","כא כסלו תשע""ז"
22/12/16,מעשר שני,ה,ז-ח,צ,יח-כ,"שו""ע או""ח","כב כסלו תשע""ז"
23/12/16,מעשר שני,ה,ט-י,צ,כא-כג,"שו""ע או""ח","כג כסלו תשע""ז"
24/12/16,מעשר שני,ה,יא-יב,צ,כד-כו,"שו""ע או""ח","כד כסלו תשע""ז"
25/12/16,מעשר שני,ה,יג-יד,צ-צא,כז-נ,"שו""ע או""ח","כה כסלו תשע""ז"
26/12/16,מעשר שני-חלה,ה-א,טו-א,צא,ג-ה,"שו""ע או""ח","כו כסלו תשע""ז"
27/12/16,חלה,א,ב-ג,צא-צב,ו-ה,"שו""ע או""ח","כז כסלו תשע""ז"
28/12/16,חלה,א,ד-ה,צב,ג-ה,"שו""ע או""ח","כח כסלו תשע""ז"
29/12/16,חלה,א,ו-ז,צב,ו-ח,"שו""ע או""ח","כט כסלו תשע""ז"
30/12/16,חלה,א,ח-ט,צב-צג,ט-א,"שו""ע או""ח","א טבת תשע""ז"
31/12/16,חלה,ב,א-ב,צג,ב-ד,"שו""ע או""ח","ב טבת תשע""ז"
01/01/17,חלה,ב,ג-ד,צד,א-ג,"שו""ע או""ח","ג טבת תשע""ז"
02/01/17,חלה,ב,ה-ו,צד,ד-ו,"שו""ע או""ח","ד טבת תשע""ז"
03/01/17,חלה,ב,ז-ח,צד,ז-ט,"שו""ע או""ח","ה טבת תשע""ז"
04/01/17,חלה,ג,א-ב,צה,א-ג,"שו""ע או""ח","ו טבת תשע""ז"
05/01/17,חלה,ג,ג-ד,צה-צו,ד-ב,"שו""ע או""ח","ז טבת תשע""ז"
06/01/17,חלה,ג,ה-ו,צז,א-ג,"שו""ע או""ח","ח טבת תשע""ז"
07/01/17,חלה,ג,ז-ח,צז-צח,ד-א,"שו""ע או""ח","ט טבת תשע""ז"
08/01/17,חלה,ג,ט-י,צח,ב-ד,"שו""ע או""ח","י טבת תשע""ז"
09/01/17,חלה,ד,א-ב,צח-צט,ה-ב,"שו""ע או""ח","יא טבת תשע""ז"
10/01/17,חלה,ד,ג-ד,צט-ק-קא,ג-א,"שו""ע או""ח","יב טבת תשע""ז"
11/01/17,חלה,ד,ה-ו,קא,ב-ד,"שו""ע או""ח","יג טבת תשע""ז"
12/01/17,חלה,ד,ז-ח,קב,א-ג,"שו""ע או""ח","יד טבת תשע""ז"
13/01/17,חלה,ד,ט-י,קב-קג,ד-א,"שו""ע או""ח","טו טבת תשע""ז"
14/01/17,חלה-ערלה,ד-א,יא-א,קג-קד,ב-א,"שו""ע או""ח","טז טבת תשע""ז"
15/01/17,ערלה,א,ב-ג,קד,ב-ד,"שו""ע או""ח","יז טבת תשע""ז"
16/01/17,ערלה,א,ד-ה,קד,ה-ז,"שו""ע או""ח","יח טבת תשע""ז"
17/01/17,ערלה,א,ו-ז,קד-ה-ו,ח-א,"שו""ע או""ח","יט טבת תשע""ז"
18/01/17,ערלה,א,ח-ט,קו-ז,ב-ב,"שו""ע או""ח","כ טבת תשע""ז"
19/01/17,ערלה,ב,א-ב,קז-ח,ג-א,"שו""ע או""ח","כא טבת תשע""ז"
20/01/17,ערלה,ב,ג-ד,קח,ב-ד,"שו""ע או""ח","כב טבת תשע""ז"
21/01/17,ערלה,ב,ה-ו,קח,ה-ז,"שו""ע או""ח","כג טבת תשע""ז"
22/01/17,ערלה,ב,ז-ח,קח,ח-י,"שו""ע או""ח","כד טבת תשע""ז"
23/01/17,ערלה,ב,ט-י,קח-ט,יא-א,"שו""ע או""ח","כה טבת תשע""ז"
24/01/17,ערלה,ב,יא-יב,קט-י,ב-א,"שו""ע או""ח","כו טבת תשע""ז"
25/01/17,ערלה,ב,יג-יד,קי,ב-ד,"שו""ע או""ח","כז טבת תשע""ז"
26/01/17,ערלה,ב,טו-טז,קי,ה-ז,"שו""ע או""ח","כח טבת תשע""ז"
27/01/17,ערלה,ב-ג,יז-א,קי-קיא,ח-ב,"שו""ע או""ח","כט טבת תשע""ז"
28/01/17,ערלה,ג,ב-ג,קיא-ב,ג-ב,"שו""ע או""ח","א שבט תשע""ז"
29/01/17,ערלה,ג,ד-ה,קיג,א-ג,"שו""ע או""ח","ב שבט תשע""ז"
30/01/17,ערלה,ג,ו-ז,קיג,ד-ו,"שו""ע או""ח","ג שבט תשע""ז"
31/01/17,ערלה,ג,ח-ט,קיג,ז-ט,"שו""ע או""ח","ד שבט תשע""ז"
01/02/17,ביכורים,א,א-ב,קיד,א-ג,"שו""ע או""ח","ה שבט תשע""ז"
02/02/17,ביכורים,א,ג-ד,קיד,ד-ו,"שו""ע או""ח","ו שבט תשע""ז"
03/02/17,ביכורים,א,ה-ו,קיד,ז-ט,"שו""ע או""ח","ז שבט תשע""ז"
04/02/17,ביכורים,א,ז-ח,קטו-טז-יז,א-א,"שו""ע או""ח","ח שבט תשע""ז"
05/02/17,ביכורים,א,ט-י,קיז,ב-ד,"שו""ע או""ח","ט שבט תשע""ז"
06/02/17,ביכורים,א-ב,יא-א,קיז-יח-יט,ה-א,"שו""ע או""ח","י שבט תשע""ז"
07/02/17,ביכורים,ב,ב-ג,קיט,ב-ד,"שו""ע או""ח","יא שבט תשע""ז"
08/02/17,ביכורים,ב,ד-ה,קכ-א,א-ב,"שו""ע או""ח","יב שבט תשע""ז"
09/02/17,ביכורים,ב,ו-ז,קכא-ב,ג-ב,"שו""ע או""ח","יג שבט תשע""ז"
10/02/17,ביכורים,ב,ח-ט,קכב-ג,ג-ב,"שו""ע או""ח","יד שבט תשע""ז"
11/02/17,ביכורים,ב,י-יא,קכג,ג-ה,"שו""ע או""ח","טו שבט תשע""ז"
12/02/17,ביכורים,ג,א-ב,קכג-ד,ו-ב,"שו""ע או""ח","טז שבט תשע""ז"
13/02/17,ביכורים,ג,ג-ד,קכד,ג-ה,"שו""ע או""ח","יז שבט תשע""ז"
14/02/17,ביכורים,ג,ה-ו,קכד,ו-ח,"שו""ע או""ח","יח שבט תשע""ז"
15/02/17,ביכורים,ג,ז-ח,קכד,ט-יא,"שו""ע או""ח","יט שבט תשע""ז"
16/02/17,ביכורים,ג,ט-י,קכד-ה,יב-ב,"שו""ע או""ח","כ שבט תשע""ז"
17/02/17,ביכורים,ג,יא-יב,קכו,א-ג,"שו""ע או""ח","כא שבט תשע""ז"
18/02/17,ביכורים,ד,א-ב,קכו-ז,ד-ב,"שו""ע או""ח","כב שבט תשע""ז"
19/02/17,ביכורים,ד,ג-ד,קכח,א-ג,"שו""ע או""ח","כג שבט תשע""ז"
20/02/17,ביכורים-שבת,ד-א*),ה-א,קכח,ד-ו,"שו""ע או""ח","כד שבט תשע""ז"
21/02/17,שבת,א,ב-ג,קכח,ז-ט,"שו""ע או""ח","כה שבט תשע""ז"
22/02/17,שבת,א,ד-ה,קכח,י-יב,"שו""ע או""ח","כו שבט תשע""ז"
23/02/17,שבת,א,ו-ז,קכח,יג-טו,"שו""ע או""ח","כז שבט תשע""ז"
24/02/17,שבת,א,ח-ט,קכח,טז-יח,"שו""ע או""ח","כח שבט תשע""ז"
25/02/17,שבת,א,י-יא,קכח,יט-כא,"שו""ע או""ח","כט שבט תשע""ז"
26/02/17,שבת,ב,א-ב,קכח,כב-כד,"שו""ע או""ח","ל שבט תשע""ז"
27/02/17,שבת,ב,ג-ד,קכח,כה-כז,"שו""ע או""ח","א אדר תשע""ז"
28/02/17,שבת,ב,ה-ו,קכח,כח-ל,"שו""ע או""ח","ב אדר תשע""ז"
01/03/17,שבת,ב-ג,ז-א,קכח,לא-לג,"שו""ע או""ח","ג אדר תשע""ז"
02/03/17,שבת,ג,ב-ג,קכח,לד-לו,"שו""ע או""ח","ד אדר תשע""ז"
03/03/17,שבת,ג,ד-ה,קכח,לז-לט,"שו""ע או""ח","ה אדר תשע""ז"
04/03/17,שבת,ג-ד,ו-א,קכח,מ-מב,"שו""ע או""ח","ו אדר תשע""ז"
05/03/17,שבת,ד-ה,ב-א,קכח,מג-מה,"שו""ע או""ח","ז אדר תשע""ז"
06/03/17,שבת,ה,ב-ג,קכט-ל,א-א,"שו""ע או""ח","ח אדר תשע""ז"
07/03/17,שבת,ה-ו,ד-א,קלא,א-ג,"שו""ע או""ח","ט אדר תשע""ז"
08/03/17,שבת,ו,ב-ג,קלא,ד-ו,"שו""ע או""ח","י אדר תשע""ז"
09/03/17,שבת,ו,ד-ה,קלא-ב,ז-א,"שו""ע או""ח","יא אדר תשע""ז"
10/03/17,שבת,ו,ו-ז,קלב-ג-ד,ב-א,"שו""ע או""ח","יב אדר תשע""ז"
11/03/17,שבת,ו,ח-ט,קלד-ה,ב-ב,"שו""ע או""ח","יג אדר תשע""ז"
12/03/17,שבת,ו-ז,י-א,קלה,ג-ה,"שו""ע או""ח","יד אדר תשע""ז"
13/03/17,שבת,ז,ב-ג,קלה,ו-ח,"שו""ע או""ח","טו אדר תשע""ז"
14/03/17,שבת,ז-ח,ד-א,קלה,ט-יא,"שו""ע או""ח","טז אדר תשע""ז"
15/03/17,שבת,ח,ב-ג,קלה,יב-יד,"שו""ע או""ח","יז אדר תשע""ז"
16/03/17,שבת,ח,ד-ה,קלו-ז,א-ב,"שו""ע או""ח","יח אדר תשע""ז"
17/03/17,שבת,ח,ו-ז,קלז,ג-ה,"שו""ע או""ח","יט אדר תשע""ז"
18/03/17,שבת,ט,א-ב,קלז-ח-ט,ו-א,"שו""ע או""ח","כ אדר תשע""ז"
19/03/17,שבת,ט,ג-ד,קלט,ב-ד,"שו""ע או""ח","כא אדר תשע""ז"
20/03/17,שבת,ט,ה-ו,קלט,ה-ז,"שו""ע או""ח","כב אדר תשע""ז"
21/03/17,שבת,ט-י,ז-א,קלט,ח-י,"שו""ע או""ח","כג אדר תשע""ז"
22/03/17,שבת,י,ב-ג,קלט-מ,יא-ב,"שו""ע או""ח","כד אדר תשע""ז"
23/03/17,שבת,י,ד-ה,קמ-א,ג-ב,"שו""ע או""ח","כה אדר תשע""ז"
24/03/17,שבת,י-יא,ו-א,קמא,ג-ה,"שו""ע או""ח","כו אדר תשע""ז"
25/03/17,שבת,יא,ב-ג,קמא,ו-ח,"שו""ע או""ח","כז אדר תשע""ז"
26/03/17,שבת,יא,ד-ה,קמב-ג,א-א,"שו""ע או""ח","כח אדר תשע""ז"
27/03/17,שבת,יא-יב,ו-א,קמג,ב-ד,"שו""ע או""ח","כט אדר תשע""ז"
28/03/17,שבת,יב,ב-ג,קמג-ד,ה-ב,"שו""ע או""ח","א ניסן תשע""ז"
29/03/17,שבת,יב,ד-ה,קמד-ה,ג-א,"שו""ע או""ח","ב ניסן תשע""ז"
30/03/17,שבת,יב-יג,ו-א,קמה-ו,ב-א,"שו""ע או""ח","ג ניסן תשע""ז"
31/03/17,שבת,יג,ב-ג,קמו,ב-ד,"שו""ע או""ח","ד ניסן תשע""ז"
01/04/17,שבת,יג,ד-ה,קמז,א-ג,"שו""ע או""ח","ה ניסן תשע""ז"
02/04/17,שבת,יג,ו-ז,קמז,ד-ו,"שו""ע או""ח","ו ניסן תשע""ז"
03/04/17,שבת,יד,א-ב,קמז-ח,ז-א,"שו""ע או""ח","ז ניסן תשע""ז"
04/04/17,שבת,יד,ג-ד,קמט-נ,א-ב,"שו""ע או""ח","ח ניסן תשע""ז"
05/04/17,שבת,טו,א-ב,קנ,ג-ה,"שו""ע או""ח","ט ניסן תשע""ז"
06/04/17,שבת,טו-טז,ג-א,קנא,א-ג,"שו""ע או""ח","י ניסן תשע""ז"
07/04/17,שבת,טז,ב-ג,קנא,ד-ו,"שו""ע או""ח","יא ניסן תשע""ז"
08/04/17,שבת,טז,ד-ה,קנא,ז-ט,"שו""ע או""ח","יב ניסן תשע""ז"
09/04/17,שבת,טז,ו-ז,קנא,י-יב,"שו""ע או""ח","יג ניסן תשע""ז"
10/04/17,שבת,טז-יז,ח-א,קנב-ג,א-ב,"שו""ע או""ח","יד ניסן תשע""ז"
11/04/17,שבת,יז,ב-ג,קנג,ג-ה,"שו""ע או""ח","טו ניסן תשע""ז"
12/04/17,שבת,יז,ד-ה,קנג,ו-ח,"שו""ע או""ח","טז ניסן תשע""ז"
13/04/17,שבת,יז,ו-ז,קנג,ט-יא,"שו""ע או""ח","יז ניסן תשע""ז"
14/04/17,שבת,יז-יח,ח-א,קנג,יב-יד,"שו""ע או""ח","יח ניסן תשע""ז"
15/04/17,שבת,יח,ב-ג,קנג,טו-יז,"שו""ע או""ח","יט ניסן תשע""ז"
16/04/17,שבת,יט,א-ב,קנג,יח-כ,"שו""ע או""ח","כ ניסן תשע""ז"
17/04/17,שבת,יט,ג-ד,קנג-ד,כא-א,"שו""ע או""ח","כא ניסן תשע""ז"
18/04/17,שבת,יט,ה-ו,קנד,ב-ד,"שו""ע או""ח","כב ניסן תשע""ז"
19/04/17,שבת,כ,א-ב,קנד,ה-ז,"שו""ע או""ח","כג ניסן תשע""ז"
20/04/17,שבת,כ,ג-ד,קנד,ח-י,"שו""ע או""ח","כד ניסן תשע""ז"
21/04/17,שבת,כ-כא,ה-א,קנד,יא-יג,"שו""ע או""ח","כה ניסן תשע""ז"
22/04/17,שבת,כא,ב-ג,קנד-ה,יד-א,"שו""ע או""ח","כו ניסן תשע""ז"
23/04/17,שבת,כב,א-ב,קנה-ו-ז,ב-א,"שו""ע או""ח","כז ניסן תשע""ז"
24/04/17,שבת,כב,ג-ד,קנח,א-ג,"שו""ע או""ח","כח ניסן תשע""ז"
25/04/17,שבת,כב,ה-ו,קנח,ד-ו,"שו""ע או""ח","כט ניסן תשע""ז"
26/04/17,שבת,כג,א-ב,קנח,ז-ט,"שו""ע או""ח","ל ניסן תשע""ז"
27/04/17,שבת,כג,ג-ד,קנח,י-יב,"שו""ע או""ח","א אייר תשע""ז"
28/04/17,שבת,כג-כד,ה-א,קנח-ט,יג-ב,"שו""ע או""ח","ב אייר תשע""ז"
29/04/17,שבת,כד,ב-ג,קנט,ג-ה,"שו""ע או""ח","ג אייר תשע""ז"
30/04/17,שבת,כד,ד-ה,קנט,ו-ח,"שו""ע או""ח","ד אייר תשע""ז"
01/05/17,עירובין,א,א-ב,קנט,ט-יא,"שו""ע או""ח","ה אייר תשע""ז"
02/05/17,עירובין,א,ג-ד,קנט,יב-יד,"שו""ע או""ח","ו אייר תשע""ז"
03/05/17,עירובין,א,ה-ו,קנט,טו-יז,"שו""ע או""ח","ז אייר תשע""ז"
04/05/17,עירובין,א,ז-ח,קנט,יח-כ,"שו""ע או""ח","ח אייר תשע""ז"
05/05/17,עירובין,א,ט-י,קס,א-ג,"שו""ע או""ח","ט אייר תשע""ז"
06/05/17,עירובין,ב,א-ב,קס,ד-ו,"שו""ע או""ח","י אייר תשע""ז"
07/05/17,עירובין,ב,ג-ד,קס,ז-ט,"שו""ע או""ח","יא אייר תשע""ז"
08/05/17,עירובין,ב,ה-ו,קס,י-יב,"שו""ע או""ח","יב אייר תשע""ז"
09/05/17,עירובין,ג,א-ב,קס,יג-טו,"שו""ע או""ח","יג אייר תשע""ז"
10/05/17,עירובין,ג,ג-ד,קסא,א-ג,"שו""ע או""ח","יד אייר תשע""ז"
11/05/17,עירובין,ג,ה-ו,קסא-ב,ד-ב,"שו""ע או""ח","טו אייר תשע""ז"
12/05/17,עירובין,ג,ז-ח,קסב,ג-ה,"שו""ע או""ח","טז אייר תשע""ז"
13/05/17,עירובין,ג-ד,ט-א,קסב,ו-ח,"שו""ע או""ח","יז אייר תשע""ז"
14/05/17,עירובין,ד,ב-ג,קסב-ג,ט-א,"שו""ע או""ח","יח אייר תשע""ז"
15/05/17,עירובין,ד,ד-ה,קסג-ד,ב-ב,"שו""ע או""ח","יט אייר תשע""ז"
16/05/17,עירובין,ד,ו-ז,קסה-ו,א-א,"שו""ע או""ח","כ אייר תשע""ז"
17/05/17,עירובין,ד,ח-ט,קסז,א-ג,"שו""ע או""ח","כא אייר תשע""ז"
18/05/17,עירובין,ד,י-יא,קסז,ד-ו,"שו""ע או""ח","כב אייר תשע""ז"
19/05/17,עירובין,ה,א-ב,קסז,ז-ט,"שו""ע או""ח","כג אייר תשע""ז"
20/05/17,עירובין,ה,ג-ד,קסז,י-יב,"שו""ע או""ח","כד אייר תשע""ז"
21/05/17,עירובין,ה,ה-ו,קסז,יג-טו,"שו""ע או""ח","כה אייר תשע""ז"
22/05/17,עירובין,ה,ז-ח,קסז,טז-יח,"שו""ע או""ח","כו אייר תשע""ז"
23/05/17,עירובין,ה-ו,ט-א,קסז-ח,יט-א,"שו""ע או""ח","כז אייר תשע""ז"
24/05/17,עירובין,ו,ב-ג,קסח,ב-ד,"שו""ע או""ח","כח אייר תשע""ז"
25/05/17,עירובין,ו,ד-ה,קסח,ה-ז,"שו""ע או""ח","כט אייר תשע""ז"
26/05/17,עירובין,ו,ו-ז,קסח,ח-י,"שו""ע או""ח","א סיון תשע""ז"
27/05/17,עירובין,ו,ח-ט,קסח,יא-יג,"שו""ע או""ח","ב סיון תשע""ז"
28/05/17,עירובין,ו-ז,י-א,קסח,יד-טז,"שו""ע או""ח","ג סיון תשע""ז"
29/05/17,עירובין,ז,ב-ג,קסח-ט,יז-ב,"שו""ע או""ח","ד סיון תשע""ז"
30/05/17,עירובין,ז,ד-ה,קסט-ע,ג-ב,"שו""ע או""ח","ה סיון תשע""ז"
31/05/17,עירובין,ז,ו-ז,קע,ג-ה,"שו""ע או""ח","ו סיון תשע""ז"
01/06/17,עירובין,ז,ח-ט,קע,ו-ח,"שו""ע או""ח","ז סיון תשע""ז"
02/06/17,עירובין,ז,י-יא,קע,ט-יא,"שו""ע או""ח","ח סיון תשע""ז"
03/06/17,עירובין,ח,א-ב,קע,יב-יד,"שו""ע או""ח","ט סיון תשע""ז"
04/06/17,עירובין,ח,ג-ד,קע,טו-יז,"שו""ע או""ח","י סיון תשע""ז"
